"","destination","Japan"
"1","Albania",6543
"2","Algeria",2152
"3","Andorra",0
"4","Angola",550
"5","Anguilla",0
"6","Antigua and Barbuda",161
"7","Argentina",25009
"8","Armenia",4503
"9","Aruba",209
"10","Australia",498645
"11","Austria",256355
"12","Azerbaijan",6135
"13","Bahamas",1330
"14","Bahrain",312
"15","Bangladesh",4195
"16","Barbados",260
"17","Belarus",4100
"18","Belgium",92207
"19","Belize",0
"20","Benin",3422
"21","Bermuda",330
"22","Bhutan",3010
"23","Bolivia, Plurinational State of",12980
"24","Bosnia and Herzegovina",10610
"25","Brazil",78914
"26","Brunei Darussalam",10680
"27","Bulgaria",14999
"28","Burkina Faso",1856
"29","Cabo Verde",0
"30","Cambodia",207636
"31","Cameroon",0
"32","Canada",260374
"33","Cayman Islands",193
"34","Central African Republic",812
"35","Chile",16691
"36","China",2676334
"37","Colombia",7506
"38","Comoros",0
"39","Cook Islands",324
"40","Costa Rica",6692
"41","Croatia",150217
"42","Cuba",15545
"43","Curacao",0
"44","Cyprus",6241
"45","Czech Republic",147760
"46","Cote d'Ivoire",0
"47","Denmark",90393
"48","Dominica",93
"49","Dominican Republic",1567
"50","Ecuador",5826
"51","Egypt",52409
"52","El Salvador",1090
"53","Estonia",30256
"54","Eswatini",0
"55","Ethiopia",4800
"56","Fiji",14868
"57","Finland",119104
"58","France",743337
"59","French Polynesia",8176
"60","Gambia",0
"61","Georgia",9413
"62","Germany",614638
"63","Greece",110368
"64","Grenada",94
"65","Guam",687566
"66","Guatemala",3896
"67","Guyana",0
"68","Haiti",0
"69","Honduras",825
"70","Hong Kong, China",1078836
"71","Hungary",67131
"72","Iceland",41541
"73","India",238903
"74","Indonesia",519623
"75","Iran, Islamic Republic of",5736
"76","Ireland",0
"77","Israel",27645
"78","Italy",1133118
"79","Jamaica",1713
"80","Japan",0
"81","Jordan",13767
"82","Kazakhstan",9721
"83","Kenya",0
"84","Kiribati",252
"85","Korea, Republic of",3271706
"86","Kuwait",5207
"87","Kyrgyzstan",5068
"88","Lao People's Democratic Republic",41736
"89","Latvia",20416
"90","Lebanon",3038
"91","Lesotho",0
"92","Liechtenstein",493
"93","Lithuania",27318
"94","Luxembourg",7574
"95","Macao, China",295783
"96","Madagascar",1913
"97","Malaysia",424694
"98","Maldives",44251
"99","Mali",194
"100","Malta",0
"101","Martinique",0
"102","Mauritius",2234
"103","Mexico",153894
"104","Moldova, Republic of",1004
"105","Monaco",4597
"106","Mongolia",25163
"107","Montenegro",2873
"108","Montserrat",0
"109","Morocco",93090
"110","Mozambique",0
"111","Myanmar",125706
"112","Namibia",5232
"113","Nepal",30534
"114","Netherlands",131000
"115","New Caledonia",21670
"116","New Zealand",97682
"117","Nicaragua",1054
"118","Niger",9648
"119","North Macedonia",3063
"120","Northern Mariana Islands",17121
"121","Norway",63083
"122","Oman",4061
"123","Palau",19742
"124","Palestine, State of",0
"125","Panama",4633
"126","Papua New Guinea",3924
"127","Paraguay",3349
"128","Peru",109562
"129","Philippines",682788
"130","Poland",106000
"131","Portugal",145033
"132","Puerto Rico",946
"133","Qatar",0
"134","Reunion",0
"135","Romania",15631
"136","Russian Federation",112286
"137","Rwanda",2862
"138","Saint Kitts and Nevis",0
"139","Saint Lucia",233
"140","Saint Vincent and The Grenadines",0
"141","Samoa",717
"142","San Marino",9804
"143","Saudi Arabia",38357
"144","Serbia",7110
"145","Seychelles",617
"146","Sierra Leone",311
"147","Singapore",884308
"148","Sint Maarten (Dutch part)",0
"149","Slovakia",9691
"150","Slovenia",33916
"151","Solomon Islands",732
"152","South Africa",34883
"153","Spain",727413.664325151
"154","Sri Lanka",31441
"155","Sweden",46559
"156","Switzerland",227561
"157","Syrian Arab Republic",120
"158","Taiwan, Province of China",2167952
"159","Tajikistan",1594
"160","Tanzania, United Republic of",6257
"161","Thailand",2985405
"162","Timor-Leste",1448
"163","Togo",3450
"164","Tonga",982
"165","Trinidad and Tobago",1491
"166","Tunisia",21183
"167","Turks and Caicos Islands",0
"168","Tuvalu",156
"169","Ukraine",9784
"170","United Arab Emirates",118020
"171","United Kingdom",388839
"172","United States Virgin Islands",61
"173","United States of America",3752980
"174","Uruguay",2877
"175","Uzbekistan",24944
"176","Vanuatu",1107
"177","Viet Nam",951962
"178","Zambia",8231
"179","Zimbabwe",20766
"180","Turkey",184254
