country,iso3,who_region,who_region_long,reference_date,date_type,cases
Jamaica,JAM,AMRO,Region of the Americas,2022-07-03,Onset,1
Jamaica,JAM,AMRO,Region of the Americas,2022-07-17,Onset,1
Jamaica,JAM,AMRO,Region of the Americas,2022-07-22,Onset,1
Jamaica,JAM,AMRO,Region of the Americas,2022-08-06,Onset,1
Jamaica,JAM,AMRO,Region of the Americas,2022-08-15,Onset,1
Jamaica,JAM,AMRO,Region of the Americas,2022-08-20,Onset,1
Jamaica,JAM,AMRO,Region of the Americas,2022-08-22,Onset,1
Jamaica,JAM,AMRO,Region of the Americas,2022-08-24,Onset,1
Jamaica,JAM,AMRO,Region of the Americas,2022-08-28,Onset,1
Jamaica,JAM,AMRO,Region of the Americas,2022-08-29,Onset,1
Jamaica,JAM,AMRO,Region of the Americas,2022-09-02,Onset,1
Jamaica,JAM,AMRO,Region of the Americas,2022-09-03,Onset,1
Jamaica,JAM,AMRO,Region of the Americas,2022-09-04,Onset,1
Jamaica,JAM,AMRO,Region of the Americas,2022-09-14,Onset,1
